ArtistName,SourceId,ExpectedMbid,ChosenMbid,Decision,Correct,Confidence,Margin,ApiCalls,ElapsedMs,Error
David Paich,e76fc618f8b94fc6a2fb5508dc11b73e,7cb00709-0f07-4a90-bcbe-f7ad5d57d8fd,7cb00709-0f07-4a90-bcbe-f7ad5d57d8fd,needs_review,True,0.9707,3.5000,4,520,
David Palmer,e0781927f59d414db892e4f5c6904dfa,f06616a5-6f80-4210-a79f-2e1ac4ffbe45,d19c9b44-ac0e-4548-88d5-da6653ca90c5,needs_review,False,0.8581,1.8000,25,2399,
David Park,6dc488f5c14f4438a3e31d88ae3151a2,6b6366b6-867b-40ae-83b4-aba1fca0900a,6b6366b6-867b-40ae-83b4-aba1fca0900a,needs_review,True,0.9707,3.5000,6,678,
David Parton,bad38dd523114710b6ec0f433c18b29c,c4ea0a02-df7e-47c8-8cfd-b0eebd278aea,c4ea0a02-df7e-47c8-8cfd-b0eebd278aea,needs_review,True,0.9707,3.5000,4,359,
David Paton,7d80387098cc478682c24db9ccc2957d,a2930d99-e1c9-4ec8-a0f6-3c27136c4744,a2930d99-e1c9-4ec8-a0f6-3c27136c4744,needs_review,True,0.9707,3.5000,5,728,
David Payne,030b70e30e484eb0af379a4cb66be8ab,9a780546-ea7a-4fd1-84e6-2ae80fd63859,0d428a3a-5fb7-4577-ade5-84d4e0f60f5b,needs_review,False,0.5000,0.0000,8,627,
David Payton,f8d226008e7443cd956b15431599c517,ae724590-1b17-4107-af74-3d345881a9ac,ae724590-1b17-4107-af74-3d345881a9ac,needs_review,True,0.9707,3.5000,4,463,
David Phelan,962e5864f4d149ffa9ea504d0300f928,9d9cbe22-ce0e-4bd0-8bfb-fe41ae48c39a,9d9cbe22-ce0e-4bd0-8bfb-fe41ae48c39a,needs_review,True,0.9707,3.5000,4,594,
David Piltch,302b5ec44fd54fcb9bd6783e9f4266f2,c6272110-d6d2-4aa1-b760-797d9ecff59b,c6272110-d6d2-4aa1-b760-797d9ecff59b,needs_review,True,0.9707,3.5000,4,412,
David Pomeranz,29d9f12a9e6b4c5bbfdef236dc39cd93,3f0f7527-4148-4085-a0cf-ffd89396683b,3f0f7527-4148-4085-a0cf-ffd89396683b,needs_review,True,0.9707,3.5000,4,483,
David Porter,291ffc3f3d2e4f4f98e75a8bf01b6083,f072fd2b-1ffa-4e54-a4c4-678741234ee2,f072fd2b-1ffa-4e54-a4c4-678741234ee2,needs_review,True,0.9707,3.5000,11,1188,
David Potts,7775e83b25c0464889831d824cdc41bb,55a9826f-180e-4c53-898e-ec0d85128c2e,55a9826f-180e-4c53-898e-ec0d85128c2e,needs_review,True,0.9707,3.5000,4,420,
David Pramik,2898fd6ffc0447cdb736227188c03bc3,a9caddec-2be5-4b74-aa4b-be5b13a808e6,a9caddec-2be5-4b74-aa4b-be5b13a808e6,needs_review,True,0.9707,3.5000,4,437,
David Quiñones,f33894f44eba48f68c211b003b0711cd,0f718735-5e70-4de7-978a-91c7e178ef5a,0f718735-5e70-4de7-978a-91c7e178ef5a,needs_review,True,0.9707,3.5000,4,454,
David Rawlings,c1c1eebc0b4d44feabae7ae948df67f4,3019ab78-2968-4141-9eab-521e16b877dd,3019ab78-2968-4141-9eab-521e16b877dd,needs_review,True,0.9707,3.5000,4,430,
David Raymond Richard James,900447baca1a4addb9810c4759b04129,d3bdfd75-2c45-41c5-aef2-474f2c65cde7,d3bdfd75-2c45-41c5-aef2-474f2c65cde7,needs_review,True,0.9707,3.5000,4,375,
